id,sentence,e1_pos,e2_pos,label
1,The system as described above has its greatest application in an arrayed configuration of antenna elements .,12,15,"Component-Whole(e2,e1)"
2,The child was carefully wrapped and bound into the cradle by means of a cord .,1,9,Other
3,The author of a keygen uses a disassembler to look at the raw assembly code .,1,7,"Instrument-Agency(e2,e1)"
4,A misty ridge uprises from the surge .,2,6,Other
5,The student association is the voice of the undergraduate student population of the State University of New York at Buffalo .,1,2,"Member-Collection(e1,e2)"
6,This is the sprawling complex that is Peru 's largest producer of silver .,4,10,Other
7,The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach .,7,19,"Cause-Effect(e2,e1)"
8,People have been moving back into downtown .,0,6,"Entity-Destination(e1,e2)"
9,The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces .,1,6,"Content-Container(e1,e2)"
10,The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial .,12,20,"Entity-Destination(e1,e2)"
11,The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel 's scholarly career .,2,6,"Member-Collection(e1,e2)"
12,Their composer has sunk into oblivion .,1,5,Other
13,The Pulitzer Committee issues an official citation explaining the reasons for the award .,6,9,"Message-Topic(e1,e2)"
14,The burst has been caused by water hammer pressure .,1,8,"Cause-Effect(e2,e1)"
15,Even commercial networks have moved into high-definition broadcast .,2,6,"Instrument-Agency(e2,e1)"
16,It was a friendly call to remind them about the bill and make sure they have a copy of the invoice .,4,10,"Message-Topic(e1,e2)"
17,"Texas-born virtuoso finds harmony , sophistication in Appalachian instrument .",1,8,"Instrument-Agency(e2,e1)"
18,"The factory 's products have included flower pots , Finnish rooster-whistles , pans , trays , tea pots , ash trays and air moisturisers .",1,14,"Product-Producer(e2,e1)"
19,The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley .,7,8,"Component-Whole(e2,e1)"
20,"They tried an assault of their own an hour later , with two columns of sixteen tanks backed by a battalion of Panzer grenadiers .",20,23,"Member-Collection(e2,e1)"
21,"Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army , and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces .",1,18,"Entity-Origin(e1,e2)"
22,She soon had a stable of her own rescued hounds .,4,9,"Member-Collection(e2,e1)"
23,"The singer , who performed three of the nominated songs , also caused a commotion on the red carpet .",1,14,"Cause-Effect(e1,e2)"
24,His intellectually engaging books and essays remain pertinent to illuminating contemporary history .,5,11,Other
25,"Poor hygiene controls , reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption .",7,10,"Member-Collection(e2,e1)"
26,"This sweet dress is made with a blend of cotton and silk , and the crochet flower necklace is the perfect accessory .",2,7,Other
27,"Suicide is one of the leading causes of death among pre-adolescents and teens , and victims of bullying are at an increased risk for committing suicide .",0,8,"Cause-Effect(e1,e2)"
28,"This article gives details on 2004 in music in the United Kingdom , including the official charts from that year .",1,7,"Message-Topic(e1,e2)"
29,We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history .,12,16,"Message-Topic(e1,e2)"
30,The timer of the device automatically eliminates wasted `` standby power '' consumption by automatically turn off electronics plugged into the `` auto off '' outlets .,1,4,"Component-Whole(e1,e2)"
31,Bob Parks made a similar offer in a phone call made earlier this week .,5,8,"Message-Topic(e2,e1)"
32,He had chest pains and headaches from mold in the bedrooms .,5,7,"Cause-Effect(e2,e1)"
33,The silver-haired author was not just laying India 's politician saint to rest but healing a generations-old rift in the family of the country 's founding father .,23,26,"Product-Producer(e1,e2)"
34,It describes a method for loading a horizontal stack of containers into a carton .,8,13,"Entity-Destination(e1,e2)"
35,The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond .,16,19,"Component-Whole(e1,e2)"
36,The technology is available to produce and transmit electricity economically from OTEC systems .,8,12,"Entity-Origin(e1,e2)"
37,The Medicare buy-in plan ran into Senate resistance .,3,7,Other
38,"The provinces are divided into counties ( shahrestan ) , and subdivided into districts ( bakhsh ) and sub-districts ( dehestan ) .",1,5,"Component-Whole(e2,e1)"
39,Financial stress is one of the main causes of divorce .,1,9,"Cause-Effect(e1,e2)"
40,Newspapers swap content via widgets with the help of the newsgator service .,0,11,"Instrument-Agency(e2,e1)"
41,The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median .,1,5,"Cause-Effect(e1,e2)"
42,The transmitter was discovered inside a bed settee suite on which he had been sitting .,1,8,"Content-Container(e1,e2)"
43,The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India .,5,8,"Member-Collection(e2,e1)"
44,"A St. Paul College student was released from jail Wednesday night , after his arrest Tuesday in the alleged rape of another student on campus .",4,8,"Entity-Origin(e1,e2)"
45,Calluses are caused by improperly fitting shoes or by a skin abnormality .,0,10,"Cause-Effect(e2,e1)"
46,Adults use drugs for this purpose .,0,2,"Instrument-Agency(e2,e1)"
47,The councilor proposed assessing infinitival complements through elicitation .,1,7,"Instrument-Agency(e2,e1)"
48,"As in the popular movie `` Deep Impact '' , the action of the Perseid meteor shower is caused by a comet , in this case periodic comet Swift-Tuttle .",15,21,"Cause-Effect(e2,e1)"
49,The following information appeared in the notes to consolidated financial statements of some corporate annual reports .,6,10,Other
50,HipHop appropriates the symbols of a consumer society : oversized diamond colliers are worn .,10,11,Other
51,The radiation from the atomic bomb explosion is a typical acute radiation .,1,5,"Cause-Effect(e2,e1)"
52,The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista .,2,3,"Component-Whole(e2,e1)"
53,A neoplastic recurrence arose from an extensive radiation induced ulceration .,2,7,"Cause-Effect(e2,e1)"
54,He has a tattoo on his right arm and scars from stitches on his right elbow .,9,11,"Cause-Effect(e2,e1)"
55,"Whether your home includes a charm of finches , a sute of bloodhounds , or a knob of toads , I think it 's important to keep the numbers within reason .",16,18,"Member-Collection(e2,e1)"
56,"Furthermore , these INGO practitioners constructed a discourse around participation which distorted the real significance of participation .",7,9,"Message-Topic(e1,e2)"
57,Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha .,3,4,Other
58,Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession .,8,12,"Message-Topic(e1,e2)"
59,This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing .,7,17,"Content-Container(e1,e2)"
60,My major disagreement with Lyons concerns the causal part of his theory .,2,7,Other
61,Both his feet have been moving into the ball .,2,8,"Entity-Destination(e1,e2)"
62,"The scissors were in a small plastic soap container , next to a bar of soap , and the box cutters were in a box next to a bottle of after-shave lotion .",19,24,"Content-Container(e1,e2)"
63,"A great wing of fluorite dragons , the greatest concentration of the rather solitary dragons ever known , joined the desperate battle with the blues and silvers against Chaos .",2,5,"Member-Collection(e2,e1)"
64,"As a control , cowpea was sealed in double bags without fumigant .",4,8,"Entity-Destination(e1,e2)"
65,The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho .,4,11,Other
66,"As the Anglo-Norman force sustained but little loss in this battle , their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour , and shot them down in hundreds before they could get to close quarters ; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights , completed the havoc and rout of the undisciplined Gaelic hosts .",65,70,Other
67,"The first incarnation of this series was set in the 1940s , during World War II , when the princess left her native paradise island ( where Amazon women had lived for centuries ) to help the U.S. foil the Nazis .",19,24,"Entity-Origin(e1,e2)"
68,Cieply 's story makes a compelling point about modern-day studio economics .,2,6,"Message-Topic(e1,e2)"
69,We poured the milk into the pumpkin mixture .,3,6,"Entity-Destination(e1,e2)"
70,Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans .,8,14,"Entity-Origin(e1,e2)"
71,The continuing Nigerian outbreak is the biggest ever caused by the vaccine .,3,11,"Cause-Effect(e2,e1)"
72,Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan ( exactly as sadistically as we have ) .,9,12,"Member-Collection(e2,e1)"
73,The fire inside WTC was caused by exploding fuel .,1,8,"Cause-Effect(e2,e1)"
74,The epithelium from the knockout mouse bladder is migrating into the transplanted matrix .,1,12,"Entity-Destination(e1,e2)"
75,The staff was removed from his position .,1,6,"Entity-Origin(e1,e2)"
76,The suffering caused by the terrorists is the real torture .,1,5,"Cause-Effect(e2,e1)"
77,This love of nature 's gift has been reflected in artworks dating back more than a thousand years .,1,10,"Message-Topic(e2,e1)"
78,The court decided the objection by making the instalment order as sought .,1,9,"Product-Producer(e2,e1)"
79,"In a poetic twist , the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom , which is where Anderson found a receptive audience in 1965 .",6,11,"Cause-Effect(e2,e1)"
80,Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit .,0,6,"Cause-Effect(e2,e1)"
81,A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel .,16,22,"Instrument-Agency(e2,e1)"
82,BMW 's iDrive 4.0 brings in a horde of new features .,7,10,"Member-Collection(e2,e1)"
83,The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp .,2,8,"Cause-Effect(e1,e2)"
84,It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments .,4,6,"Member-Collection(e2,e1)"
85,It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry .,11,16,"Product-Producer(e1,e2)"
86,"Unlike other fish , grunion come out of the water completely to lay their eggs in the wet sand of the beach .",18,21,Other
87,A large marble was dropped into the bowl .,2,7,"Entity-Destination(e1,e2)"
88,Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities .,4,10,"Cause-Effect(e2,e1)"
89,"AI requested that the perpetrators be prosecuted to the fullest extent of the law , that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers .",34,40,"Cause-Effect(e2,e1)"
90,The findings have been published in a special section of the academic journal Archives of Sexual Behavior .,1,8,Other
91,An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado .,2,19,"Entity-Origin(e1,e2)"
92,The introduction in the book is a summary of what is in the text .,1,4,"Component-Whole(e1,e2)"
93,The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site .,2,9,"Entity-Origin(e1,e2)"
94,This user plays games on a portable console .,1,7,"Instrument-Agency(e2,e1)"
95,The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva .,3,7,"Entity-Origin(e1,e2)"
96,The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away .,1,17,"Instrument-Agency(e2,e1)"
97,The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash .,31,38,"Cause-Effect(e2,e1)"
98,In the corner there are several gate captains and a legion of Wu crossbowmen .,10,13,"Member-Collection(e2,e1)"
99,"Once they grow there , the swelling and inflammation caused by the infection closes off the sac , causing it not to `` shed '' bacteria , and protecting the bacteria inside from antibiotics and your body 's own immune cells .",6,12,"Cause-Effect(e2,e1)"
100,"Guitars are played acoustically ; the tone is produced by the vibration of the strings which is amplified by the body of the guitar , which acts as a large hollow resonating chamber , or they may rely on an amplifier that can electronically manipulate tone .",6,11,"Cause-Effect(e2,e1)"
101,"Flowers are reborn from the soil and the climate begins to warm , all set to a score improvised by an orchestra of birds .",17,21,Other
102,He posted the answers to the website .,3,6,"Entity-Destination(e1,e2)"
103,"Arcane Subtlety reduced the threat caused by Polymorph by 40 % at max rank , though the threat caused by the spell is minimal .",17,21,"Cause-Effect(e2,e1)"
104,A programmer uses a high level language to implement its algorithms .,1,6,"Instrument-Agency(e2,e1)"
105,"The beautiful hydrothermal features in the park ( geysers , hot springs , mud pots , etc . ) , the uplift and subsidence , and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids .",29,34,"Cause-Effect(e2,e1)"
106,"Flowers are nice , but do n't last very long and the fruit in a fruit basket often goes bad .",12,16,"Content-Container(e1,e2)"
107,He decided to pad the heel of shoes with a shock absorbing insole or heel pad .,5,7,"Component-Whole(e1,e2)"
108,"From the Scots ( Lingle ) and French ( Ligneul , Lignoul ) , comes a shoemaker 's sewing thread , waxed and bristled ( See Waxed End ) .",16,19,"Instrument-Agency(e2,e1)"
109,One tablet per quart was dropped into a canteen and made the water safe to drink .,1,8,"Entity-Destination(e1,e2)"
110,"The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus , one of his most acclaimed works .",2,11,"Content-Container(e1,e2)"
111,"Then I swept up the dust , which looked like sawdust , and put it in a plastic container , which was in a cabinet under the granite counter top .",17,24,"Content-Container(e1,e2)"
112,In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium .,5,11,"Entity-Origin(e1,e2)"
113,"In this comprehensive guide , over 850 roses are described , illustrated , and arranged by group .",3,7,"Message-Topic(e1,e2)"
114,Chestnut flour was more common than wheat flour in the Italian Alps a century ago .,0,1,"Entity-Origin(e2,e1)"
115,For us the term artists ' book simply means a book made by an artist ; a book made as a work of art rather than as a literary artifact .,4,6,"Product-Producer(e2,e1)"
116,My parents bought her a silver necklace almost identical to the one pictured .,5,6,Other
117,Forward motion of the vehicle through the air caused a suction on the road draft tube .,1,10,"Cause-Effect(e1,e2)"
118,"Paul Friedrich guides us through a babel of words , and worlds of the imagination ranging from his translations from five languages ( notably the Russian of his literary studies ) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways , a Vermont farm , father and child .",6,8,Other
119,The picture below shows a view chapel and west range of the inner courtyard of the castle .,13,16,"Component-Whole(e1,e2)"
120,I was attacked by a flock of pigeons today .,5,7,"Member-Collection(e2,e1)"
121,That decision was also the subject of an unsuccessful legal challenge .,1,9,Other
122,The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C .,6,13,"Entity-Origin(e1,e2)"
123,Individual investors moved into the property .,1,5,"Entity-Destination(e1,e2)"
124,One of the trickiest questions to answer in an interview relates to salary .,4,12,"Message-Topic(e1,e2)"
125,This tradition has been narrated in prophet 's early biographies .,1,9,"Message-Topic(e2,e1)"
126,A thief who tried to steal the truck broke the igenition with screwdriver .,1,12,"Instrument-Agency(e2,e1)"
127,"After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum , but even so it was normally fielded with attached auxiliary skirmishers and missile troops , and incorporated a small cavalry unit .",9,12,"Member-Collection(e2,e1)"
128,The prosecutors carried guns into the court room .,3,6,"Entity-Destination(e1,e2)"
129,"The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches , and impeded access to personal accounts that allow users to renew or hold books online .",1,5,"Cause-Effect(e1,e2)"
130,Chemical weapons have been dropped into the lake .,0,7,"Entity-Destination(e1,e2)"
131,Many other dwarves also hailed from this infamous clan .,2,8,"Entity-Origin(e1,e2)"
132,The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court .,1,4,"Component-Whole(e1,e2)"
133,Global digital music sales grow as the music industry develops new business models .,8,12,"Product-Producer(e2,e1)"
134,"The devices were manufactured at the factory in Beaverton well into the 1980s , when production was shifted elsewhere and portions of the factory sold .",1,6,"Product-Producer(e1,e2)"
135,"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character , but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future .",28,32,"Member-Collection(e2,e1)"
136,The train ride from station to station is approximate 30 minutes .,1,4,Other
137,The archaeological site yields relics from long-forgotten culture .,4,7,"Entity-Origin(e1,e2)"
138,A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems .,1,4,Other
139,"Water damage from roof leaks , plumbing leaks or flooding lead to the growth of molds .",1,13,"Cause-Effect(e1,e2)"
140,"Warm weather is here , and with it comes the scourge of mosquitoes .",10,12,Other
141,"The formation of struvite stones is associated with the presence of urea-splitting bacteria , most commonly Proteus mirabilis ( but also Klebsiella , Serratia , Providencia species ) .",1,4,Other
142,"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River , thereby materially assisting the progress of the French armies on our right and left , against whom the enemy was making his greatest efforts .",38,43,Other
143,"So when William did cross the Boyne on July 1st 1690 , he had an army consisting of the riffraff of Europe 's mercenaries .",19,23,"Member-Collection(e2,e1)"
144,The overall geometry of the heart was extracted from the intensity data .,2,11,"Entity-Origin(e1,e2)"
145,The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position .,1,4,"Cause-Effect(e2,e1)"
146,"Flames of purple , pink , yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean .",15,17,"Member-Collection(e2,e1)"
147,"Out of the early morning haze , a convoy of articulated lorries pulls into the Gashouder square .",8,11,"Member-Collection(e2,e1)"
148,This book has transported readers into ancient times .,4,6,"Entity-Destination(e1,e2)"
149,"We always try to maintain the best environment for programmers , starting with good salary and conducive working environment .",7,9,Other
150,"Indeed , a green or black basalt heart scarab was found put inside the body in its place .",8,14,"Content-Container(e1,e2)"
151,The first motorcycle was manufactured in a small wood building with only one room .,2,9,"Entity-Origin(e1,e2)"
152,"The water pushed to the coast resulted in tides as much as three feet above normal , with waves of 5-10 feet atop these tides .",1,8,"Cause-Effect(e1,e2)"
