id,sentence,e1_pos,e2_pos,relation,label
1,The system as described above has its greatest application in an arrayed configuration antenna elements,12,14,"Component-Whole(e2,e1)",12
2,The child was carefully wrapped bound into the cradle by means cord,1,8,Other,0
3,The author keygen uses disassembler look at the raw assembly code,1,4,"Instrument-Agency(e2,e1)",6
4,A misty ridge from the surge,2,5,Other,0
5,The student association is the voice the undergraduate student population the State University New York at Buffalo,1,2,"Member-Collection(e1,e2)",15
6,This is the sprawling complex that is Peru largest producer silver,4,9,Other,0
7,The current view is that the chronic inflammation in the distal part the stomach caused by Helicobacter pylori infection results in an increased acid production from the upper corpus region the stomach,7,18,"Cause-Effect(e2,e1)",10
8,People have been moving back into downtown,0,6,"Entity-Destination(e1,e2)",7
9,The was contained in platinum crucible the was plastic crucible with metal pieces,1,4,"Content-Container(e1,e2)",17
10,The solute was placed inside beaker 5 mL the solvent was into mL glass flask for each trial,9,14,"Entity-Destination(e1,e2)",7
11,The fifty essays collected in this volume testify most the prominent themes from Professor scholarly career,2,6,"Member-Collection(e1,e2)",15
12,Their composer has sunk into oblivion,1,5,Other,0
13,The Pulitzer Committee issues an official citation explaining the reasons for the award,6,9,"Message-Topic(e1,e2)",1
14,The burst has been caused by water hammer pressure,1,8,"Cause-Effect(e2,e1)",10
15,Even commercial networks have moved into broadcast,2,6,"Instrument-Agency(e2,e1)",6
16,It was friendly call remind them about the bill make sure they have copy the invoice,3,8,"Message-Topic(e1,e2)",1
17,virtuoso finds harmony sophistication in Appalachian instrument,0,6,"Instrument-Agency(e2,e1)",6
18,The factory products have included flower pots Finnish pans trays tea pots ash trays air moisturisers,1,9,"Product-Producer(e2,e1)",4
19,The girl showed photo apple tree blossom on fruit tree in the Central Valley,5,6,"Component-Whole(e2,e1)",12
20,They tried an assault their own an hour later with two columns sixteen tanks backed by battalion Panzer grenadiers,16,18,"Member-Collection(e2,e1)",16
21,Their knowledge the power rank symbols the Continental empires was gained from the numerous Germanic recruits in the Roman army from the Roman practice various Germanic warrior groups with land in the imperial provinces,1,15,"Entity-Origin(e1,e2)",13
22,She soon had stable her own rescued hounds,3,7,"Member-Collection(e2,e1)",16
23,The singer who performed three the nominated songs also caused commotion on the red carpet,1,10,"Cause-Effect(e1,e2)",9
24,His intellectually engaging books essays remain pertinent illuminating contemporary history,4,9,Other,0
25,Poor hygiene controls reports brace gamey grouse what looked like skinned fox all amounted pie that was unfit for human consumption,4,6,"Member-Collection(e2,e1)",16
26,This sweet dress is made with blend cotton silk the crochet flower necklace is the perfect accessory,2,6,Other,0
27,Suicide is one the leading causes death among teens victims bullying are at an increased risk for committing suicide,0,6,"Cause-Effect(e1,e2)",9
28,This article gives details on in music in the United Kingdom including the official charts from that year,1,6,"Message-Topic(e1,e2)",1
29,We have therefore taken the initiative convene the first international open meeting dedicated solely rural history,11,14,"Message-Topic(e1,e2)",1
30,The timer the device automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets,1,3,"Component-Whole(e1,e2)",11
31,Bob Parks made similar offer in phone call made earlier this week,4,6,"Message-Topic(e2,e1)",2
32,He had chest pains headaches from mold in the bedrooms,4,6,"Cause-Effect(e2,e1)",10
33,The author was not just laying India politician saint rest but healing rift in the family the country founding father,17,19,"Product-Producer(e1,e2)",3
34,It describes method for loading horizontal stack containers into carton,6,9,"Entity-Destination(e1,e2)",7
35,The Foundation decided repurpose the building in order reduce wear tear on the plumbing in the manor house by redirecting visitors during restoration projects beyond,13,16,"Component-Whole(e1,e2)",11
36,The technology is available produce transmit electricity economically from OTEC systems,6,10,"Entity-Origin(e1,e2)",13
37,The Medicare plan ran into Senate resistance,2,6,Other,0
38,The provinces are divided into counties subdivided into districts,1,5,"Component-Whole(e2,e1)",12
39,Financial stress is one the main causes divorce,1,7,"Cause-Effect(e1,e2)",9
40,Newspapers swap content via widgets with the help the service,0,9,"Instrument-Agency(e2,e1)",6
41,The women that caused the accident was on the cell phone ran thru the intersection without pausing on the median,1,5,"Cause-Effect(e1,e2)",9
42,The transmitter was discovered inside bed settee suite on which he had been sitting,1,7,"Content-Container(e1,e2)",17
43,The Kerala backwaters are chain brackish lagoons lakes lying parallel the Arabian Sea coast Kerala state in southern India,4,6,"Member-Collection(e2,e1)",16
44,A St. Paul College student was released from jail Wednesday night after his arrest Tuesday in the alleged rape another student on campus,4,8,"Entity-Origin(e1,e2)",13
45,Calluses are caused by improperly fitting shoes or by skin abnormality,0,9,"Cause-Effect(e2,e1)",10
46,Adults use drugs for this purpose,0,2,"Instrument-Agency(e2,e1)",6
47,The councilor proposed assessing complements through elicitation,1,6,"Instrument-Agency(e2,e1)",6
48,As in the popular movie Deep Impact the action the Perseid meteor shower is caused by comet in this case periodic comet,11,16,"Cause-Effect(e2,e1)",10
49,The following information appeared in the notes consolidated financial statements some corporate annual reports,6,9,Other,0
50,HipHop appropriates the symbols consumer society oversized diamond colliers are worn,7,8,Other,0
51,The radiation from the atomic bomb explosion is typical acute radiation,1,5,"Cause-Effect(e2,e1)",10
52,The boat tiller was developed by engineers Arnold S. Juliano Dr. U. Bautista,1,2,"Component-Whole(e2,e1)",12
53,A neoplastic recurrence arose from an extensive radiation induced ulceration,2,7,"Cause-Effect(e2,e1)",10
54,He has tattoo on his right arm scars from stitches on his right elbow,7,9,"Cause-Effect(e2,e1)",10
55,Whether your home includes charm finches bloodhounds or knob toads I think it important keep the numbers within reason,8,9,"Member-Collection(e2,e1)",16
56,Furthermore these INGO practitioners constructed discourse around participation which distorted the real significance participation,5,7,"Message-Topic(e1,e2)",1
57,Kelvin bought silver ring which he was so happy with he keeps wearing it now even though its abit too big haha,2,3,Other,0
58,Scientists are in the midst an ongoing debate about the relative value openness collaboration in their profession,7,11,"Message-Topic(e1,e2)",1
59,This cut blue white striped cotton dress with red bands on the bodice was in trunk vintage Barbie clothing,6,15,"Content-Container(e1,e2)",17
60,My major disagreement with Lyons concerns the causal part his theory,2,7,Other,0
61,Both his feet have been moving into the ball,2,8,"Entity-Destination(e1,e2)",7
62,The scissors were in small plastic soap container next bar soap the box cutters were in box next bottle lotion,12,16,"Content-Container(e1,e2)",17
63,A great wing fluorite dragons the greatest concentration the rather solitary dragons ever known joined the desperate battle with the blues silvers against Chaos,2,4,"Member-Collection(e2,e1)",16
64,As control cowpea was sealed in double bags without fumigant,2,6,"Entity-Destination(e1,e2)",7
65,The infectious bacterial disease brucellosis has been found in beef cow in eastern Idaho,4,10,Other,0
66,As the force sustained but little loss in this battle their archers at the onset showered hail arrows upon the Irish host who were not protected with mail shot them down in hundreds before they could get close quarters then the charge the heavy cavalry knights completed the havoc rout the undisciplined Gaelic hosts,49,53,Other,0
67,The first incarnation this series was set in the during World War II when the princess left her native paradise island where Amazon women had lived for centuries help the U.S. foil the Nazis,15,20,"Entity-Origin(e1,e2)",13
68,Cieply story makes compelling point about studio economics,1,4,"Message-Topic(e1,e2)",1
69,We poured the milk into the pumpkin mixture,3,6,"Entity-Destination(e1,e2)",7
70,Lawyers in Detroit also worked overtime as several lawsuits ensued from angry injured fans,8,13,"Entity-Origin(e1,e2)",13
71,The continuing Nigerian outbreak is the biggest ever caused by the vaccine,3,11,"Cause-Effect(e2,e1)",10
72,Our mercenary Army has now degenerated into Godless cabal mindless killers not unlike the Soviets that were butchering civilians in Afghanistan exactly as sadistically as we have,8,10,"Member-Collection(e2,e1)",16
73,The fire inside WTC was caused by exploding fuel,1,8,"Cause-Effect(e2,e1)",10
74,The epithelium from the knockout mouse bladder is migrating into the transplanted matrix,1,12,"Entity-Destination(e1,e2)",7
75,The staff was removed from his position,1,6,"Entity-Origin(e1,e2)",13
76,The suffering caused by the terrorists is the real torture,1,5,"Cause-Effect(e2,e1)",10
77,This love nature gift has been reflected in artworks dating back more than thousand years,1,8,"Message-Topic(e2,e1)",2
78,The court decided the objection by making the order as sought,1,8,"Product-Producer(e2,e1)",4
79,In poetic twist the tsunami triggered by the rock band forced many American jazz blues singers seek work in the United Kingdom which is where Anderson found receptive audience in,4,9,"Cause-Effect(e2,e1)",10
80,Leakage fire caused due corrosion bypass piping for recirculation gas at fuel oil desulphurization unit,0,4,"Cause-Effect(e2,e1)",10
81,A team students from Virginia Tech University have created vehicle that allows vision impaired drivers take control the wheel,14,18,"Instrument-Agency(e2,e1)",6
82,BMW iDrive brings in horde new features,4,6,"Member-Collection(e2,e1)",16
83,The metal ball makes ding ding ding noise when it swings back hits the metal body the lamp,2,7,"Cause-Effect(e1,e2)",9
84,It consists an ensemble ladies who are highly qualified play various Arabic musical instruments,3,4,"Member-Collection(e2,e1)",16
85,It underscores the need for continued surveillance nicotine delivery in products created by an unregulated industry,10,15,"Product-Producer(e1,e2)",3
86,Unlike other fish grunion come out the water completely lay their eggs in the wet sand the beach,15,17,Other,0
87,A large marble was dropped into the bowl,2,7,"Entity-Destination(e1,e2)",7
88,Historical view the damage caused by the Catania earthquake the reconstruction activities,3,8,"Cause-Effect(e2,e1)",10
89,AI requested that the perpetrators be prosecuted the fullest extent the law that adequate compensation be provided the victims that senior government police officials offer apologies for the suffering caused by the responsible police officers,28,34,"Cause-Effect(e2,e1)",10
90,The findings have been published in special section the academic journal Archives Sexual Behavior,1,7,Other,0
91,An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on cellphone was pulled from the train is being held in Colorado,2,18,"Entity-Origin(e1,e2)",13
92,The introduction in the book is summary what is in the text,1,4,"Component-Whole(e1,e2)",11
93,The second simulation was started from the structure after insertion the ligand into the binding site,2,7,"Entity-Origin(e1,e2)",13
94,This user plays games on portable console,1,6,"Instrument-Agency(e2,e1)",6
95,The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva,3,7,"Entity-Origin(e1,e2)",13
96,The driver the cement truck cleaned the loading chute on his truck with water hose began pull away,1,14,"Instrument-Agency(e2,e1)",6
97,The Marshall Plan also provided way gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war end the recession triggered by the Wall Street crash,28,34,"Cause-Effect(e2,e1)",10
98,In the corner there are several gate captains legion Wu,8,10,"Member-Collection(e2,e1)",16
99,Once they grow there the swelling inflammation caused by the infection closes off the sac causing it not shed bacteria protecting the bacteria inside from antibiotics your body own immune cells,5,10,"Cause-Effect(e2,e1)",10
100,Guitars are played acoustically the tone is produced by the vibration the strings which is amplified by the body the guitar which acts as large hollow resonating chamber or they may rely on an amplifier that can electronically manipulate tone,5,10,"Cause-Effect(e2,e1)",10
101,Flowers are reborn from the soil the climate begins warm all set score improvised by an orchestra birds,12,16,Other,0
102,He posted the answers the website,3,5,"Entity-Destination(e1,e2)",7
103,Arcane Subtlety reduced the threat caused by Polymorph by % at max rank though the threat caused by the spell is minimal,15,19,"Cause-Effect(e2,e1)",10
104,A programmer uses high level language implement its algorithms,1,5,"Instrument-Agency(e2,e1)",6
105,The beautiful hydrothermal features in the park geysers hot springs mud pots etc the uplift subsidence many the earthquakes are caused by the movements hydrothermal magmatic fluids,18,23,"Cause-Effect(e2,e1)",10
106,Flowers are nice but do n't last very long the fruit in fruit basket often goes bad,10,13,"Content-Container(e1,e2)",17
107,He decided pad the heel shoes with shock absorbing insole or heel pad,4,5,"Component-Whole(e1,e2)",11
108,From the Scots Lingle French comes shoemaker sewing thread waxed bristled See Waxed End,6,8,"Instrument-Agency(e2,e1)",6
109,One tablet per quart was dropped into canteen made the water safe drink,1,7,"Entity-Destination(e1,e2)",7
110,The tiny image the Renaissance master is hidden in carafe wine in his oil painting Bacchus one his most acclaimed works,2,9,"Content-Container(e1,e2)",17
111,Then I swept up the dust which looked like sawdust put it in plastic container which was in cabinet under the granite counter top,13,18,"Content-Container(e1,e2)",17
112,In the former method the acetone was distilled from an solution after the excess oxidant had been destroyed with sodium,5,10,"Entity-Origin(e1,e2)",13
113,In this comprehensive guide over roses are described illustrated arranged by group,3,5,"Message-Topic(e1,e2)",1
114,Chestnut flour was more common than wheat flour in the Italian Alps century ago,0,1,"Entity-Origin(e2,e1)",14
115,For us the term artists book simply means book made by an artist book made as work art rather than as literary artifact,4,5,"Product-Producer(e2,e1)",4
116,My parents bought her silver necklace almost identical the one pictured,4,5,Other,0
117,Forward motion the vehicle through the air caused suction on the road draft tube,1,8,"Cause-Effect(e1,e2)",9
118,Paul Friedrich guides us through babel words worlds the imagination ranging from his translations from five languages notably the Russian his literary studies the poetry the Indian Mexico his anthropological field work America writ large super highways Vermont farm father child,5,6,Other,0
119,The picture below shows view chapel west range the inner courtyard the castle,10,12,"Component-Whole(e1,e2)",11
120,I was attacked by flock pigeons today,4,5,"Member-Collection(e2,e1)",16
121,That decision was also the subject an unsuccessful legal challenge,1,8,Other,0
122,The exit temperature an effluent stream from the low temperature steam reforming reactor is not higher than C,5,12,"Entity-Origin(e1,e2)",13
123,Individual investors moved into the property,1,5,"Entity-Destination(e1,e2)",7
124,One the trickiest questions answer in an interview relates salary,3,9,"Message-Topic(e1,e2)",1
125,This tradition has been narrated in prophet early biographies,1,8,"Message-Topic(e2,e1)",2
126,A thief who tried steal the truck broke the with screwdriver,1,10,"Instrument-Agency(e2,e1)",6
127,After the Marian reforms the Legion was notionally unit heavy infantrymen armed with just sword but even so it was normally fielded with attached auxiliary skirmishers missile troops incorporated small cavalry unit,8,10,"Member-Collection(e2,e1)",16
128,The prosecutors carried guns into the court room,3,6,"Entity-Destination(e1,e2)",7
129,The malfunctions on Monday caused delays for patrons waiting check out or renew books at the branches impeded access personal accounts that allow users renew or hold books online,1,5,"Cause-Effect(e1,e2)",9
130,Chemical weapons have been dropped into the lake,0,7,"Entity-Destination(e1,e2)",7
131,Many other dwarves also hailed from this infamous clan,2,8,"Entity-Origin(e1,e2)",13
132,The nose bloodhound is so good that evidence found by bloodhound will hold up in matters involving the United States Supreme Court,1,2,"Component-Whole(e1,e2)",11
133,Global digital music sales grow as the music industry develops new business models,8,12,"Product-Producer(e2,e1)",4
134,The devices were manufactured at the factory in Beaverton well into the when production was shifted elsewhere portions the factory sold,1,6,"Product-Producer(e1,e2)",3
135,An expensive uniform strict ballot rendered it somewhat too exclusive in its character but in the end it answered its purpose by becoming practically muster the National leaders the present the future,24,27,"Member-Collection(e2,e1)",16
136,The train ride from station station is approximate minutes,1,4,Other,0
137,The archaeological site yields relics from culture,4,6,"Entity-Origin(e1,e2)",13
138,A maze interlocking jurisdictions levels government confronts average citizens in trying solve even the simplest problems,1,3,Other,0
139,Water damage from roof leaks plumbing leaks or flooding lead the growth molds,1,11,"Cause-Effect(e1,e2)",9
140,Warm weather is here with it comes the scourge mosquitoes,8,9,Other,0
141,The formation struvite stones is associated with the presence bacteria most commonly Proteus mirabilis but also Klebsiella Serratia Providencia species,1,3,Other,0
142,Our army was successfully engaged during the day with strong rearguards all arms on the Petit Morin River thereby materially assisting the progress the French armies on our right left against whom the enemy was making his greatest efforts,33,38,Other,0
143,So when William did cross the Boyne on July 1st he had an army consisting the riffraff Europe mercenaries,16,18,"Member-Collection(e2,e1)",16
144,The overall geometry the heart was extracted from the intensity data,2,10,"Entity-Origin(e1,e2)",13
145,The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position,1,4,"Cause-Effect(e2,e1)",10
146,Flames purple pink yellow blue dance in the air as coven sorcerers call forth energies from within the Empyrean,10,11,"Member-Collection(e2,e1)",16
147,Out the early morning haze convoy articulated lorries pulls into the square,5,7,"Member-Collection(e2,e1)",16
148,This book has transported readers into ancient times,4,6,"Entity-Destination(e1,e2)",7
149,We always try maintain the best environment for programmers starting with good salary conducive working environment,6,8,Other,0
150,Indeed green or black basalt heart scarab was found put inside the body in its place,6,12,"Content-Container(e1,e2)",17
151,The first motorcycle was manufactured in small wood building with only one room,2,8,"Entity-Origin(e1,e2)",13
152,The water pushed the coast resulted in tides as much as three feet above normal with waves feet atop these tides,1,7,"Cause-Effect(e1,e2)",9
153,The chapters in this book investigate issues communities,1,6,"Message-Topic(e1,e2)",1
154,He rescheduled the birthday party the next day,4,6,"Entity-Destination(e1,e2)",7
155,The bacterial aerosol was generated from an nebulizer,1,7,"Product-Producer(e2,e1)",4
156,People have into space but not the deep ocean,0,3,"Entity-Destination(e1,e2)",7
157,For those you who are unsure what Afrikaans is it is language which originated from the Dutch which were the first settlers in South Africa the unique language was evolved from other settlers from Malaya Indonesia Madagascar West Africa,27,32,"Entity-Origin(e1,e2)",13
158,Beaver dams are created as protection against predators such as coyotes wolves bears provide easy access food during winter,0,1,"Product-Producer(e2,e1)",4
159,So the theme the play has do with religion,4,8,"Message-Topic(e1,e2)",1
160,There has been intense debate over the circles origins,4,8,"Message-Topic(e1,e2)",1
161,I have recently developed creases in my ear lobes,7,8,"Component-Whole(e2,e1)",12
162,Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor the commodity was largely used by companies making Indian Made Foreign Liquor IMFL,3,12,"Entity-Origin(e2,e1)",14
163,Initially the user calibrates the microscope with fluorescence lifetime standard positioned at the sample plane,2,9,"Instrument-Agency(e2,e1)",6
164,The province comprises the southeastern part Panay Island with Guimaras just across its coast,1,5,"Component-Whole(e2,e1)",12
165,The charge is the source an electric field which carries electrostatic,1,7,"Cause-Effect(e1,e2)",9
166,The tardiness however has been caused by the arrival my old man who in true Bloodworth fashion has had me walking everywhere,1,8,"Cause-Effect(e2,e1)",10
167,The key was in chest,1,4,"Content-Container(e1,e2)",17
168,The residue was distilled from an Arbuzov flask,1,7,"Entity-Origin(e1,e2)",13
169,As the moved forward the evil force started withdraw unleashing rain deadly arrows into the heavily,10,12,"Member-Collection(e2,e1)",16
170,It is medieval Latin manuscript relating the early history the Isle Man,4,8,"Message-Topic(e1,e2)",1
171,The river had now turned into full flood after the deluge rain few days ago,7,10,"Cause-Effect(e2,e1)",10
172,He stopped rowing when the boat was opposite the paddle wheel the steamer the steamer stopped her engine at the same time,14,17,"Component-Whole(e2,e1)",12
173,This is the umbrella that peels the potatoes with pencil makes pink ink with the peelings stood up,3,9,"Instrument-Agency(e2,e1)",6
174,This wheat ale is light unfiltered brew with citrus aroma imparted by late addition lemon grass,1,2,"Entity-Origin(e2,e1)",14
175,The car left the plant,1,4,"Entity-Origin(e1,e2)",13
